ฤเ๒เ;ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
2008-01-10;-20.0;765;ย 2์/๑;-22.0;765.0;ย 2์/๑
2008-01-11;-20.0;764;-;-24.0;764.0;-
2008-01-12;-20.0;762;ว 2์/๑;-20.0;761.0;ว 2์/๑
2008-01-13;-9.0;756;Þว 3์/๑;-7.0;754.0;Þว 3์/๑
2008-01-14;-6.0;751;Þว 2์/๑;-4.0;752.0;Þว 2์/๑
2008-01-15;-1.0;753;ว 1์/๑;-2.0;754.0;ว 1์/๑
2008-01-16;-1.0;759;-;-2.0;762.0;-
2008-01-17;-4.0;765;Þ 3์/๑;-4.0;765.0;Þ 3์/๑
2008-01-18;-8.0;765;Þ 1์/๑;-10.0;765.0;Þ 1์/๑
2008-01-19;-9.0;765;-;-12.0;765.0;-
2008-01-20;-9.0;762;Þ 3์/๑;-14.0;762.0;Þ 3์/๑
2008-01-21;-15.0;759;ย 2์/๑;-17.0;759.0;ย 2์/๑
2008-01-22;-13.0;753;ย 4์/๑;-11.0;751.0;ย 4์/๑
2008-01-23;-9.0;751;Þ 3์/๑;-9.0;751.0;Þ 3์/๑
2008-01-24;-11.0;750;ย 3์/๑;-10.0;751.0;ย 3์/๑
2008-01-25;-8.0;753;ย 1์/๑;-10.0;751.0;ย 1์/๑
2008-01-26;-4.0;742;Þ 2์/๑;-3.0;741.0;Þ 2์/๑
2008-01-27;-1.0;735;ย 2์/๑;-2.0;735.0;ย 2์/๑
2008-01-28;-1.0;741;Þย 3์/๑;-3.0;744.0;Þย 3์/๑
2008-01-29;-4.0;749;Þ 1์/๑;-5.0;750.0;Þ 1์/๑
2008-01-30;-6.0;753;ั 1์/๑;-5.0;753.0;ั 1์/๑
2008-01-31;-7.0;753;ย 1์/๑;-11.0;753.0;ย 1์/๑
2008-02-01;-11.0;753;Þย 1์/๑;-14.0;753.0;Þย 1์/๑
2008-02-02;-12.0;756;ย 1์/๑;-11.0;758.0;ย 1์/๑
2008-02-03;-6.0;756;ย 1์/๑;-5.0;754.0;ย 1์/๑
2008-02-04;-3.0;756;ว 4์/๑;-2.0;754.0;ว 4์/๑
2008-02-05;-1.0;759;ว 1์/๑;-9.0;760.0;ว 1์/๑
2008-02-06;-6.0;760;ว 2์/๑;-9.0;761.0;ว 2์/๑
2008-02-07;-8.0;765;-;-6.0;767.0;-
2008-02-08;-10.0;773;ย 2์/๑;-15.0;773.0;ย 2์/๑
2008-02-09;-14.0;774;Þว 3์/๑;-18.0;772.0;Þว 3์/๑
2008-02-10;-12.0;762;Þว 3์/๑;-11.0;762.0;Þว 3์/๑
2008-02-11;-3.0;760;Þว 1์/๑;-3.0;762.0;Þว 1์/๑
2008-02-12;-5.0;763;Þว 1์/๑;-7.0;763.0;Þว 1์/๑
2008-02-13;-4.0;758;Þว 4์/๑;-6.0;755.0;Þว 4์/๑
2008-02-14;-6.0;746;Þว 4์/๑;-9.0;744.0;Þว 4์/๑
2008-02-15;-13.0;744;ย 2์/๑;-13.0;741.0;ย 2์/๑
2008-02-16;-10.0;741;Þว 2์/๑;-17.0;744.0;Þว 2์/๑
2008-02-17;-11.0;750;ว 2์/๑;-16.0;753.0;ว 2์/๑
2008-02-18;-14.0;751;Þว 3์/๑;-15.0;750.0;Þว 3์/๑
2008-02-19;-13.0;746;Þย 2์/๑;-14.0;744.0;Þย 2์/๑
2008-02-20;-8.0;735;ัว 2์/๑;-13.0;735.0;ัว 2์/๑
2008-02-21;-8.0;740;ัว 4์/๑;-10.0;744.0;ัว 4์/๑
2008-02-22;-7.0;750;ว 3์/๑;-8.0;746.0;ว 3์/๑
2008-02-23;1.0;734;Þว 4์/๑;1.0;732.0;Þว 4์/๑
2008-02-24;3.0;739;Þว 3์/๑;1.0;741.0;Þว 3์/๑
2008-02-25;0.0;741;Þว 4์/๑;1.0;738.0;Þว 4์/๑
2008-02-26;0.0;728;Þว 3์/๑;1.0;735.0;Þว 3์/๑
2008-02-27;2.0;744;ว 3์/๑;0.0;745.0;ว 3์/๑
2008-02-28;2.0;741;Þว 3์/๑;1.0;740.0;Þว 3์/๑
2008-02-29;2.0;738;Þว 3์/๑;1.0;740.0;Þว 3์/๑
2008-03-01;3.0;743;Þ 3์/๑;2.0;742.0;Þ 3์/๑
2008-03-02;2.0;738;ย 3์/๑;3.0;737.0;ย 3์/๑
2008-03-03;2.0;736;Þ 2์/๑;1.0;738.0;Þ 2์/๑
2008-03-04;1.0;735;ย 1์/๑;0.0;735.0;ย 1์/๑
2008-03-05;1.0;744;ว 3์/๑;-1.0;748.0;ว 3์/๑
2008-03-06;1.0;750;Þว 5์/๑;-1.0;751.0;Þว 5์/๑
2008-03-07;2.0;747;Þว 4์/๑;0.0;744.0;Þว 4์/๑
2008-03-08;2.0;742;ว 2์/๑;0.0;746.0;ว 2์/๑
2008-03-09;1.0;753;ั 2์/๑;-3.0;754.0;ั 2์/๑
2008-03-10;-2.0;752;ัย 3์/๑;-4.0;752.0;ัย 3์/๑
2008-03-11;0.0;752;ั 2์/๑;-4.0;752.0;ั 2์/๑
2008-03-12;0.0;751;Þย 2์/๑;-3.0;750.0;Þย 2์/๑
2008-03-13;3.0;746;Þ 2์/๑;-1.0;746.0;Þ 2์/๑
2008-03-14;4.0;744;-;-1.0;744.0;-
2008-03-15;4.0;741;ย 1์/๑;1.0;741.0;ย 1์/๑
2008-03-16;0.0;738;ย 1์/๑;-1.0;744.0;ย 1์/๑
2008-03-17;2.0;735;Þว 3์/๑;1.0;737.0;Þว 3์/๑
2008-03-18;0.0;737;ย 2์/๑;1.0;735.0;ย 2์/๑
2008-03-19;4.0;741;Þย 1์/๑;2.0;738.0;Þย 1์/๑
2008-03-20;4.0;746;Þว 4์/๑;2.0;740.0;Þว 4์/๑
2008-03-21;5.0;741;Þว 4์/๑;3.0;740.0;Þว 4์/๑
2008-03-22;2.0;738;ว 1์/๑;1.0;742.0;ว 1์/๑
2008-03-23;3.0;748;Þ 1์/๑;2.0;748.0;Þ 1์/๑
2008-03-24;4.0;745;Þย 2์/๑;2.0;747.0;Þย 2์/๑
2008-03-25;10.0;744;ย 2์/๑;5.0;742.0;ย 2์/๑
2008-03-26;15.0;738;ย 3์/๑;10.0;741.0;ย 3์/๑
2008-03-27;12.0;746;Þว 2์/๑;10.0;747.0;Þว 2์/๑
2008-03-28;8.0;756;ว 2์/๑;5.0;758.0;ว 2์/๑
2008-03-29;9.0;759;ั 2์/๑;5.0;759.0;ั 2์/๑
2008-03-30;7.0;754;ั 4์/๑;5.0;753.0;ั 4์/๑
2008-03-31;10.0;753;ั 2์/๑;5.0;753.0;ั 2์/๑
2008-04-01;11.0;752;ัย 4์/๑;5.0;752.0;ัย 4์/๑
2008-04-02;10.0;749;ัย 3์/๑;6.0;749.0;ัย 3์/๑
2008-04-03;15.0;748;ัย 4์/๑;10.0;749.0;ัย 4์/๑
2008-04-04;17.0;746;ัย 2์/๑;11.0;747.0;ัย 2์/๑
